Year,Country,Bronze,Gold,Silver,Total,Season
1900,AUS,3,2,,5,Summer
1900,AUT,3,,3,6,Summer
1900,BEL,15,5,19,39,Summer
1900,BOH,1,,1,2,Summer
1900,CAN,1,1,,2,Summer
1900,CUB,,1,1,2,Summer
1900,DEN,2,1,3,6,Summer
1900,ESP,,2,,2,Summer
1900,FRA,53,46,86,185,Summer
1900,GBR,10,48,20,78,Summer
1900,GER,10,11,19,40,Summer
1900,HUN,2,1,2,5,Summer
1900,IND,,,2,2,Summer
1900,ITA,,2,2,4,Summer
1900,NED,15,,5,20,Summer
1900,NOR,3,,6,9,Summer
1900,SUI,1,13,1,15,Summer
1900,SWE,1,,,1,Summer
1900,USA,14,27,14,55,Summer
1900,ZZX,8,18,8,34,Summer
1904,AUT,1,,,1,Summer
1904,CAN,,26,9,35,Summer
1904,CUB,3,4,2,9,Summer
1904,GBR,,1,1,2,Summer
1904,GER,5,4,4,13,Summer
1904,GRE,1,1,,2,Summer
1904,HUN,1,2,1,4,Summer
1904,SUI,1,1,,2,Summer
1904,USA,111,146,137,394,Summer
1904,ZZX,,3,5,8,Summer
1908,ANZ,2,15,2,19,Summer
1908,AUT,1,,,1,Summer
1908,BEL,6,1,24,31,Summer
1908,BOH,5,,,5,Summer
1908,CAN,26,17,8,51,Summer
1908,DEN,3,,12,15,Summer
1908,FIN,27,1,1,29,Summer
1908,FRA,21,9,5,35,Summer
1908,GBR,65,143,132,340,Summer
1908,GER,6,2,10,18,Summer
1908,GRE,,,3,3,Summer
1908,HUN,5,6,7,18,Summer
1908,ITA,,2,5,7,Summer
1908,NED,11,,,11,Summer
1908,NOR,3,7,34,44,Summer
1908,RSA,,1,1,2,Summer
1908,RU1,,,2,2,Summer
1908,SWE,10,68,17,95,Summer
1908,USA,15,34,14,63,Summer
1912,ANZ,3,5,2,10,Summer
1912,AUT,5,,9,14,Summer
1912,BEL,9,9,1,19,Summer
1912,CAN,3,3,2,8,Summer
1912,DEN,34,5,45,84,Summer
1912,FIN,22,9,36,67,Summer
1912,FRA,5,10,10,25,Summer
1912,GBR,58,44,58,160,Summer
1912,GER,23,10,19,52,Summer
1912,GRE,1,1,,2,Summer
1912,HUN,3,10,17,30,Summer
1912,ITA,2,18,1,21,Summer
1912,NED,22,,,22,Summer
1912,NOR,29,41,6,76,Summer
1912,RSA,,5,2,7,Summer
1912,RU1,9,,5,14,Summer
1912,SWE,25,86,62,173,Summer
1912,USA,31,45,25,101,Summer
1920,AUS,1,,5,6,Summer
1920,BEL,65,57,66,188,Summer
1920,BRA,5,1,1,7,Summer
1920,CAN,3,2,3,8,Summer
1920,DEN,1,30,44,75,Summer
1920,ESP,,,24,24,Summer
1920,EST,,1,2,3,Summer
1920,FIN,17,16,14,47,Summer
1920,FRA,55,13,73,141,Summer
1920,GBR,15,55,35,105,Summer
1920,GRE,,,5,5,Summer
1920,ITA,7,68,9,84,Summer
1920,JPN,,,3,3,Summer
1920,LUX,,,1,1,Summer
1920,NED,24,14,10,48,Summer
1920,NOR,26,58,53,137,Summer
1920,NZL,1,,,1,Summer
1920,RSA,6,3,12,21,Summer
1920,SUI,21,6,2,29,Summer
1920,SWE,57,51,35,143,Summer
1920,TCH,2,,,2,Summer
1920,USA,37,110,34,181,Summer
1924,ARG,2,6,3,11,Summer
1924,AUS,2,3,5,10,Summer
1924,AUT,1,,3,4,Summer
1924,BEL,6,3,29,38,Summer
1924,CAN,1,,19,20,Summer
1924,DEN,2,2,8,12,Summer
1924,EST,4,1,1,6,Summer
1924,FIN,15,24,13,52,Summer
1924,FRA,21,39,63,123,Summer
1924,GBR,20,18,29,67,Summer
1924,HAI,7,,,7,Summer
1924,HUN,8,2,10,20,Summer
1924,ITA,21,25,5,51,Summer
1924,JPN,1,,,1,Summer
1924,NED,17,8,1,26,Summer
1924,NOR,3,16,7,26,Summer
1924,NZL,1,,,1,Summer
1924,POL,1,,4,5,Summer
1924,POR,3,,,3,Summer
1924,ROU,23,,,23,Summer
1924,RSA,1,1,1,3,Summer
1924,SUI,21,13,31,65,Summer
1924,SWE,49,6,26,81,Summer
1924,TCH,5,1,4,10,Summer
1924,URU,,22,,22,Summer
1924,USA,51,110,37,198,Summer
1924,YUG,,2,,2,Summer
1928,ARG,5,3,24,32,Summer
1928,AUS,1,1,2,4,Summer
1928,AUT,2,2,,4,Summer
1928,BEL,4,,1,5,Summer
1928,CAN,21,7,5,33,Summer
1928,CHI,,,1,1,Summer
1928,DEN,3,5,5,13,Summer
1928,EGY,1,2,1,4,Summer
1928,ESP,,3,,3,Summer
1928,EST,6,2,1,9,Summer
1928,FIN,9,8,8,25,Summer
1928,FRA,13,7,16,36,Summer
1928,GBR,24,6,25,55,Summer
1928,GER,39,20,13,72,Summer
1928,HAI,,,1,1,Summer
1928,HUN,,9,11,20,Summer
1928,IND,,15,,15,Summer
1928,IRL,,1,,1,Summer
1928,ITA,31,18,21,70,Summer
1928,JPN,1,2,5,8,Summer
1928,NED,6,20,39,65,Summer
1928,NOR,1,4,4,9,Summer
1928,NZL,,1,,1,Summer
1928,PHI,1,,,1,Summer
1928,POL,14,1,3,18,Summer
1928,RSA,5,1,,6,Summer
1928,SUI,4,16,8,28,Summer
1928,SWE,21,7,8,36,Summer
1928,TCH,2,2,12,16,Summer
